Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.1435,0.002,-7.006
0.144,-0.002,-7.001
0.1445,0.006999999999999999,-6.9910000000000005
0.145,0.002,-6.972
0.1455,-0.002,-6.972
0.146,0.006999999999999999,-6.957000000000001
0.1465,0.012,-6.943
0.147,0.002,-6.933
0.1475,0.006999999999999999,-6.928
0.148,0.006999999999999999,-6.9079999999999995
0.1485,0.002,-6.899
0.149,0.006999999999999999,-6.894
0.1495,0.012,-6.874
0.15,0.002,-6.864
0.1505,0.002,-6.855
0.151,0.012,-6.835
0.1515,0.006999999999999999,-6.825
0.152,0.006999999999999999,-6.821000000000001
0.1525,0.006999999999999999,-6.801
0.153,0.006999999999999999,-6.7860000000000005
0.1535,0.006999999999999999,-6.7860000000000005
0.154,0.006999999999999999,-6.767
0.1545,0.012,-6.752000000000001
0.155,0.002,-6.747000000000001
0.1555,0.012,-6.737
0.156,0.012,-6.718
0.1565,0.006999999999999999,-6.707999999999999
0.157,0.012,-6.694
0.1575,0.012,-6.684
0.158,0.002,-6.669
0.1585,0.006999999999999999,-6.659
0.159,0.017,-6.635
0.1595,0.006999999999999999,-6.63
0.16,0.012,-6.62
0.1605,0.012,-6.601
0.161,0.006999999999999999,-6.591
0.1615,0.012,-6.581
0.162,0.017,-6.562
0.1625,0.012,-6.5520000000000005
0.163,0.012,-6.537000000000001
0.1635,0.012,-6.523
0.164,0.012,-6.507999999999999
0.1645,0.006999999999999999,-6.502999999999999
0.165,0.017,-6.479
0.1655,0.012,-6.4639999999999995
0.166,0.006999999999999999,-6.459
0.1665,0.012,-6.44
0.167,0.012,-6.42
0.1675,0.012,-6.41
0.168,0.012,-6.4
0.1685,0.012,-6.381
0.169,0.012,-6.3660000000000005
0.1695,0.012,-6.352
0.17,0.017,-6.337000000000001
0.1705,0.006999999999999999,-6.322
0.171,0.012,-6.308
0.1715,0.022000000000000002,-6.287999999999999
0.172,0.012,-6.278
0.1725,0.012,-6.263999999999999
0.173,0.017,-6.249
0.1735,0.012,-6.23
0.174,0.012,-6.22
0.1745,0.012,-6.2
0.175,0.017,-6.186
0.1755,0.012,-6.181
0.176,0.017,-6.1610000000000005
0.1765,0.012,-6.142
0.177,0.012,-6.132000000000001
0.1775,0.017,-6.112
0.178,0.012,-6.093
0.1785,0.012,-6.077999999999999
0.179,0.012,-6.063
0.1795,0.022000000000000002,-6.044
0.18,0.012,-6.029
0.1805,0.017,-6.02
0.181,0.022000000000000002,-5.995
0.1815,0.017,-5.98
0.182,0.017,-5.966
0.1825,0.017,-5.946000000000001
0.183,0.022000000000000002,-5.932
0.1835,0.012,-5.922000000000001
0.184,0.022000000000000002,-5.897
0.1845,0.017,-5.882999999999999
0.185,0.017,-5.877999999999999
0.1855,0.022000000000000002,-5.853
0.186,0.017,-5.829
0.1865,0.012,-5.819
0.187,0.017,-5.805
0.1875,0.017,-5.78
0.188,0.012,-5.77
0.1885,0.017,-5.751
0.189,0.022000000000000002,-5.731
0.1895,0.017,-5.712000000000001
0.19,0.022000000000000002,-5.697
0.1905,0.027000000000000003,-5.678
0.191,0.017,-5.662999999999999
0.1915,0.022000000000000002,-5.653
0.192,0.022000000000000002,-5.624
0.1925,0.017,-5.614
0.193,0.017,-5.6
0.1935,0.022000000000000002,-5.575
0.194,0.017,-5.556
0.1945,0.022000000000000002,-5.546
0.195,0.022000000000000002,-5.521
0.1955,0.022000000000000002,-5.507000000000001
0.196,0.017,-5.492000000000001
0.1965,0.022000000000000002,-5.473
0.197,0.022000000000000002,-5.4479999999999995
0.1975,0.017,-5.438
0.198,0.017,-5.4239999999999995
0.1985,0.022000000000000002,-5.399
0.199,0.017,-5.38
0.1995,0.022000000000000002,-5.36
0.2,0.022000000000000002,-5.341
0.2005,0.017,-5.321000000000001
0.201,0.022000000000000002,-5.306
0.2015,0.027000000000000003,-5.282
0.202,0.022000000000000002,-5.267
0.2025,0.027000000000000003,-5.252999999999999
0.203,0.027000000000000003,-5.228
0.2035,0.022000000000000002,-5.2139999999999995
0.204,0.022000000000000002,-5.199
0.2045,0.027000000000000003,-5.175
0.205,0.017,-5.155
0.2055,0.022000000000000002,-5.145
0.206,0.022000000000000002,-5.1160000000000005
0.2065,0.022000000000000002,-5.101
0.207,0.012,-5.082
0.2075,0.022000000000000002,-5.062
0.208,0.022000000000000002,-5.038
0.2085,0.022000000000000002,-5.023
0.209,0.022000000000000002,-5.004
0.2095,0.027000000000000003,-4.984
0.21,0.022000000000000002,-4.965
0.2105,0.027000000000000003,-4.945
0.211,0.027000000000000003,-4.926
0.2115,0.022000000000000002,-4.906000000000001
0.212,0.027000000000000003,-4.891
0.2125,0.032,-4.867
0.213,0.022000000000000002,-4.8469999999999995
0.2135,0.022000000000000002,-4.833
0.214,0.027000000000000003,-4.808
0.2145,0.022000000000000002,-4.789
0.215,0.022000000000000002,-4.774
0.2155,0.027000000000000003,-4.75
0.216,0.022000000000000002,-4.73
0.2165,0.022000000000000002,-4.716
0.217,0.027000000000000003,-4.691
0.2175,0.022000000000000002,-4.667
0.218,0.017,-4.652
0.2185,0.027000000000000003,-4.628
0.219,0.022000000000000002,-4.6080000000000005
0.2195,0.022000000000000002,-4.5889999999999995
0.22,0.027000000000000003,-4.564
0.2205,0.032,-4.545
0.221,0.022000000000000002,-4.53
0.2215,0.032,-4.51
0.222,0.027000000000000003,-4.481
0.2225,0.022000000000000002,-4.466
0.223,0.027000000000000003,-4.442
0.2235,0.032,-4.422
0.224,0.022000000000000002,-4.4030000000000005
0.2245,0.027000000000000003,-4.388
0.225,0.027000000000000003,-4.359
0.2255,0.022000000000000002,-4.3389999999999995
0.226,0.027000000000000003,-4.32
0.2265,0.027000000000000003,-4.3
0.227,0.027000000000000003,-4.276
0.2275,0.022000000000000002,-4.256
0.228,0.027000000000000003,-4.237
0.2285,0.027000000000000003,-4.208
0.229,0.022000000000000002,-4.198
0.2295,0.027000000000000003,-4.168
0.23,0.027000000000000003,-4.144
0.2305,0.027000000000000003,-4.129
0.231,0.027000000000000003,-4.105
0.2315,0.032,-4.081
0.232,0.027000000000000003,-4.061
0.2325,0.027000000000000003,-4.042
0.233,0.032,-4.022
0.2335,0.022000000000000002,-4.002
0.234,0.027000000000000003,-3.988
0.2345,0.032,-3.958
0.235,0.022000000000000002,-3.9339999999999997
0.2355,0.027000000000000003,-3.924
