Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0864,-0.095,-7.529
0.0866,-0.095,-7.537999999999999
0.0868,-0.085,-7.553
0.087,-0.085,-7.558
0.0872,-0.085,-7.5729999999999995
0.0874,-0.085,-7.587000000000001
0.0876,-0.085,-7.602
0.0878,-0.081,-7.612
0.088,-0.076,-7.626
0.0882,-0.081,-7.626
0.0884,-0.071,-7.636
0.0886,-0.071,-7.646
0.0888,-0.071,-7.651
0.089,-0.066,-7.6610000000000005
0.0892,-0.066,-7.67
0.0894,-0.066,-7.685
0.0896,-0.066,-7.695
0.0898,-0.066,-7.69
0.09,-0.055999999999999994,-7.7
0.0902,-0.051,-7.7
0.0904,-0.051,-7.705
0.0906,-0.046,-7.7139999999999995
0.0908,-0.051,-7.724
0.091,-0.051,-7.729
0.0912,-0.051,-7.734
0.0914,-0.046,-7.734
0.0916,-0.042,-7.734
0.0918,-0.042,-7.739
0.092,-0.032,-7.734
0.0922,-0.032,-7.734
0.0924,-0.027000000000000003,-7.739
0.0926,-0.022000000000000002,-7.739
0.0928,-0.027000000000000003,-7.734
0.093,-0.017,-7.729
0.0932,-0.012,-7.724
0.0934,-0.006999999999999999,-7.718999999999999
0.0936,-0.006999999999999999,-7.709
0.0938,-0.002,-7.709
0.094,-0.002,-7.705
0.0942,-0.002,-7.7
0.0944,-0.002,-7.695
0.0946,0.002,-7.685
0.0948,0.006999999999999999,-7.68
0.095,0.006999999999999999,-7.67
0.0952,0.017,-7.6610000000000005
0.0954,0.012,-7.656000000000001
0.0956,0.012,-7.651
0.0958,0.017,-7.641
0.096,0.012,-7.636
0.0962,0.022000000000000002,-7.621
0.0964,0.022000000000000002,-7.612
0.0966,0.032,-7.602
0.0968,0.032,-7.587000000000001
0.097,0.032,-7.577999999999999
0.0972,0.027000000000000003,-7.568
0.0974,0.032,-7.558
0.0976,0.032,-7.542999999999999
0.0978,0.037000000000000005,-7.529
0.098,0.042,-7.513999999999999
0.0982,0.042,-7.499
0.0984,0.046,-7.485
0.0986,0.046,-7.475
0.0988,0.046,-7.46
0.099,0.051,-7.446000000000001
0.0992,0.051,-7.426
0.0994,0.055999999999999994,-7.4110000000000005
0.0996,0.061,-7.397
0.0998,0.061,-7.377000000000001
0.1,0.061,-7.358
0.1002,0.066,-7.343
0.1004,0.066,-7.327999999999999
0.1006,0.066,-7.309
0.1008,0.066,-7.289
0.101,0.071,-7.27
0.1012,0.076,-7.245
0.1014,0.081,-7.226
0.1016,0.081,-7.206
0.1018,0.081,-7.187
0.102,0.081,-7.167000000000001
