Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.467,7.07,7.7
0.46799999999999997,7.079,7.705
0.469,7.084,7.7
0.47,7.0889999999999995,7.7
0.47100000000000003,7.099,7.705
0.47200000000000003,7.099,7.7
0.473,7.109,7.705
0.474,7.114,7.705
0.475,7.117999999999999,7.705
0.47600000000000003,7.122999999999999,7.705
0.47700000000000004,7.122999999999999,7.7
0.478,7.138,7.705
0.479,7.138,7.705
0.48,7.138,7.705
0.48100000000000004,7.148,7.705
0.48200000000000004,7.148,7.7
0.483,7.1579999999999995,7.709
0.484,7.162000000000001,7.705
0.485,7.162000000000001,7.705
0.486,7.172000000000001,7.705
0.48700000000000004,7.172000000000001,7.7
0.488,7.182,7.709
0.489,7.182,7.7
0.49,7.187,7.705
0.491,7.197,7.7
0.49200000000000005,7.192,7.705
0.493,7.2010000000000005,7.705
0.494,7.206,7.705
0.495,7.211,7.705
0.496,7.216,7.705
0.49700000000000005,7.221,7.7
0.498,7.226,7.709
0.499,7.226,7.7
0.5,7.226,7.705
0.501,7.236000000000001,7.7
0.502,7.231,7.7
0.503,7.2410000000000005,7.705
0.504,7.2410000000000005,7.7
0.505,7.245,7.705
0.506,7.255,7.705
0.507,7.255,7.705
0.508,7.265,7.709
0.509,7.27,7.705
0.51,7.26,7.705
0.511,7.275,7.7
0.512,7.27,7.705
0.513,7.28,7.709
0.514,7.28,7.705
0.515,7.28,7.709
0.516,7.289,7.705
0.517,7.284,7.705
0.518,7.294,7.709
0.519,7.2989999999999995,7.705
0.52,7.2989999999999995,7.709
0.521,7.309,7.705
0.522,7.303999999999999,7.7
0.523,7.314,7.709
0.524,7.319,7.705
0.525,7.319,7.705
0.526,7.327999999999999,7.705
0.527,7.324,7.7
0.528,7.327999999999999,7.7139999999999995
0.529,7.327999999999999,7.705
0.53,7.327999999999999,7.705
0.531,7.332999999999999,7.7
0.532,7.337999999999999,7.7
0.5329999999999999,7.337999999999999,7.709
0.534,7.348,7.705
0.535,7.343,7.705
0.536,7.353,7.705
0.537,7.353,7.705
0.5379999999999999,7.358,7.709
0.539,7.358,7.7
0.54,7.358,7.705
0.541,7.367999999999999,7.709
0.542,7.3629999999999995,7.7
0.5429999999999999,7.367999999999999,7.709
0.544,7.372000000000001,7.705
0.545,7.377000000000001,7.705
0.546,7.377000000000001,7.709
0.547,7.382000000000001,7.705
0.5479999999999999,7.382000000000001,7.7139999999999995
0.5489999999999999,7.3870000000000005,7.705
0.55,7.382000000000001,7.705
0.551,7.392,7.705
0.552,7.392,7.705
0.5529999999999999,7.3870000000000005,7.7139999999999995
0.5539999999999999,7.402,7.709
0.555,7.397,7.709
0.556,7.402,7.709
0.557,7.402,7.705
0.5579999999999999,7.407,7.709
0.5589999999999999,7.407,7.709
0.56,7.407,7.7
0.561,7.416,7.709
0.562,7.416,7.7
0.563,7.4110000000000005,7.705
0.564,7.416,7.709
0.565,7.416,7.705
0.5660000000000001,7.426,7.709
0.5670000000000001,7.426,7.7
0.568,7.426,7.709
0.569,7.431,7.705
0.57,7.426,7.705
